section,indice,categorie,phase,journée,date/heure,date_confirmee,domicile,extérieur,score,gymnase,ville,lien,adresse_complete
Entente Lyon Est Handball (F),A,Seniors,P1,16,13 mars 2027 au 14 mars 2027,False,ST GENIS LAVAL AL HANDBALL 2,ST PRIEST HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/nationale-3-feminine-aura-30494/poule-190149/rencontre-2650945/,
Entente Lyon Est Handball (F),A,Seniors,P1,17,20 mars 2027 au 21 mars 2027,False,ST PRIEST HANDBALL,CALUIRE RILLIEUX HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/nationale-3-feminine-aura-30494/poule-190149/rencontre-2650950/,
Entente Lyon Est Handball (F),A,Seniors,P1,18,3 avril 2027 au 4 avril 2027,False,ST CHAMOND HANDBALL PAYS DU GIER 2,ST PRIEST HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/nationale-3-feminine-aura-30494/poule-190149/rencontre-2650956/,
Entente Lyon Est Handball (F),A,Seniors,P1,19,10 avril 2027 au 11 avril 2027,False,ST PRIEST HANDBALL,BLANZAT SPORT MONTLUCON,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/nationale-3-feminine-aura-30494/poule-190149/rencontre-2650961/,
Entente Lyon Est Handball (F),A,Seniors,P1,20,1 mai 2027 au 2 mai 2027,False,ST LAURENT DE CHAMOUSSET HBC,ST PRIEST HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/nationale-3-feminine-aura-30494/poule-190149/rencontre-2650968/,
Entente Lyon Est Handball (F),A,Seniors,P1,21,22 mai 2027 au 23 mai 2027,False,ST PRIEST HANDBALL,SAINT-FLOUR HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/nationale-3-feminine-aura-30494/poule-190149/rencontre-2650976/,
Entente Lyon Est Handball (F),A,Seniors,P1,22,29 mai 2027 au 30 mai 2027,False,AMBERIEU HBC,ST PRIEST HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/nationale-3-feminine-aura-30494/poule-190149/rencontre-2650980/,
Entente Lyon Est Handball (F),B,Seniors,P1,1,12 septembre 2026 au 13 septembre 2026,False,P16F PNF - PORTE DE L'ISERE,P16F PNF - ENTENTE LYON EST HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/prenationale-feminine-aura-30495/poule-190154/rencontre-2651230/,
Entente Lyon Est Handball (F),B,Seniors,P1,2,19 septembre 2026 au 20 septembre 2026,False,P16F PNF - ENTENTE LYON EST HANDBALL,HANDBALL CLUB BOURGETAIN,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/prenationale-feminine-aura-30495/poule-190154/rencontre-2651234/,
Entente Lyon Est Handball (F),B,Seniors,P1,3,3 octobre 2026 au 4 octobre 2026,False,P16F PNF - ENTENTE MEXIMIEUX MONTLUEL,P16F PNF - ENTENTE LYON EST HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/prenationale-feminine-aura-30495/poule-190154/rencontre-2651237/,
