section,indice,categorie,phase,journée,date/heure,date_confirmee,domicile,extérieur,score,gymnase,ville,lien,adresse_complete
Entente Est Lyonnais (G),B,M15,P1,1,12 septembre 2026 au 13 septembre 2026,False,M15M EXC - ENTENTE EST LYONNAIS,SAINT GENIX AOSTE HB 1,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-excellence-aura-30504/poule-190328/rencontre-2652772/,
Entente Est Lyonnais (G),B,M15,P1,2,19 septembre 2026 au 20 septembre 2026,False,BELLEY HBC,M15M EXC - ENTENTE EST LYONNAIS,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-excellence-aura-30504/poule-190328/rencontre-2652776/,
Entente Est Lyonnais (G),B,M15,P1,3,3 octobre 2026 au 4 octobre 2026,False,M15M EXC - ENTENTE EST LYONNAIS,M15M CHAPONNAY,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-excellence-aura-30504/poule-190328/rencontre-2652778/,
Entente Est Lyonnais (G),B,M15,P1,4,10 octobre 2026 au 11 octobre 2026,False,MERMOZ G15A,M15M EXC - ENTENTE EST LYONNAIS,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-excellence-aura-30504/poule-190328/rencontre-2652780/,
Entente Est Lyonnais (G),B,M15,P1,5,17 octobre 2026 au 18 octobre 2026,False,M15M EXC - ENTENTE EST LYONNAIS,HANDBALL CLUB DE LYON,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-excellence-aura-30504/poule-190328/rencontre-2652783/,
Entente Est Lyonnais (G),B,M15,P1,6,7 novembre 2026 au 8 novembre 2026,False,SAINT GENIX AOSTE HB 1,M15M EXC - ENTENTE EST LYONNAIS,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-excellence-aura-30504/poule-190328/rencontre-2652787/,
Entente Est Lyonnais (G),B,M15,P1,7,14 novembre 2026 au 15 novembre 2026,False,M15M EXC - ENTENTE EST LYONNAIS,BELLEY HBC,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-excellence-aura-30504/poule-190328/rencontre-2652791/,
Entente Est Lyonnais (G),B,M15,P1,8,21 novembre 2026 au 21 novembre 2026,False,M15M CHAPONNAY,M15M EXC - ENTENTE EST LYONNAIS,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-excellence-aura-30504/poule-190328/rencontre-2652793/,
Entente Est Lyonnais (G),B,M15,P1,9,28 novembre 2026 au 29 novembre 2026,False,M15M EXC - ENTENTE EST LYONNAIS,MERMOZ G15A,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-excellence-aura-30504/poule-190328/rencontre-2652795/,
Entente Est Lyonnais (G),B,M15,P1,10,5 décembre 2026 au 5 décembre 2026,False,HANDBALL CLUB DE LYON,M15M EXC - ENTENTE EST LYONNAIS,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-excellence-aura-30504/poule-190328/rencontre-2652798/,
Entente Villette Genas,C,M15,P1,1,samedi 12 septembre 2026 à 17H00,True,M15M EXC - ENTENTE BEAUJOLAISE 2,M15M EXC - ENTENTE GENAS - VILLETTE,,Gymnase du val de saone,St didier sur chalaronne,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-excellence-aura-30504/poule-190326/rencontre-2652713/,"Gymnase du val de saone, AVENUE DES SPORTS, St didier sur chalaronne"
Entente Villette Genas,C,M15,P1,2,19 septembre 2026 au 20 septembre 2026,False,M15M EXC - ENTENTE GENAS - VILLETTE,HB GLEIZE ST JULIEN DENICE U15M A,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-excellence-aura-30504/poule-190326/rencontre-2652716/,
Entente Villette Genas,C,M15,P1,4,10 octobre 2026 au 11 octobre 2026,False,M15M EXC - MIONS HEYRIEUX,M15M EXC - ENTENTE GENAS - VILLETTE,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-excellence-aura-30504/poule-190326/rencontre-2652721/,
Entente Villette Genas,C,M15,P1,5,17 octobre 2026 au 18 octobre 2026,False,M15M EXC - ENTENTE GENAS - VILLETTE,AS GENAY HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-excellence-aura-30504/poule-190326/rencontre-2652725/,
Entente Villette Genas,C,M15,P1,6,7 novembre 2026 au 8 novembre 2026,False,M15M EXC - ENTENTE GENAS - VILLETTE,M15M EXC - ENTENTE BEAUJOLAISE 2,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-excellence-aura-30504/poule-190326/rencontre-2652728/,
Entente Villette Genas,C,M15,P1,7,14 novembre 2026 au 15 novembre 2026,False,HB GLEIZE ST JULIEN DENICE U15M A,M15M EXC - ENTENTE GENAS - VILLETTE,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-excellence-aura-30504/poule-190326/rencontre-2652731/,
Entente Villette Genas,C,M15,P1,9,28 novembre 2026 au 29 novembre 2026,False,M15M EXC - ENTENTE GENAS - VILLETTE,M15M EXC - MIONS HEYRIEUX,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-excellence-aura-30504/poule-190326/rencontre-2652736/,
Entente Villette Genas,C,M15,P1,10,5 décembre 2026 au 5 décembre 2026,False,AS GENAY HANDBALL,M15M EXC - ENTENTE GENAS - VILLETTE,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-excellence-aura-30504/poule-190326/rencontre-2652740/,
Entente Est Lyonnais (G),A,M18,P1,1,dimanche 13 septembre 2026 à 16H00,True,ST PRIEST HANDBALL,ISTRES PROVENCE HANDBALL,,Halle des sports,Genas,https://www.ffhandball.fr/competitions/saison-2026-2027-22/national/u18-masculins-2026-2027-32522/poule-190991/rencontre-2640907/,"Halle des sports, RUE DE LA FRATERNITE, Genas"
Entente Est Lyonnais (G),A,M18,P1,2,19 septembre 2026 au 20 septembre 2026,False,UODL HANDBALL,ST PRIEST HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/national/u18-masculins-2026-2027-32522/poule-190991/rencontre-2640911/,
Entente Est Lyonnais (G),A,M18,P1,3,3 octobre 2026 au 4 octobre 2026,False,ST PRIEST HANDBALL,MONTELIMAR CLUB HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/national/u18-masculins-2026-2027-32522/poule-190991/rencontre-2640913/,
Entente Est Lyonnais (G),A,M18,P1,4,samedi 10 octobre 2026 à 18H00,True,ESTEREL ST RAPHAEL VAR HB (U18M ELITE),ST PRIEST HANDBALL,,Palais des sports,St raphael,https://www.ffhandball.fr/competitions/saison-2026-2027-22/national/u18-masculins-2026-2027-32522/poule-190991/rencontre-2640915/,"Palais des sports, RUE DES CHATAIGNIERS, St raphael"
Entente Est Lyonnais (G),A,M18,P1,5,17 octobre 2026 au 18 octobre 2026,False,ST PRIEST HANDBALL,U.S. CRAUROISE HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/national/u18-masculins-2026-2027-32522/poule-190991/rencontre-2640918/,
Entente Est Lyonnais (G),A,M18,P1,6,samedi 7 novembre 2026 à 19H00,True,ISTRES PROVENCE HANDBALL,ST PRIEST HANDBALL,,Bernard bardin,Istres,https://www.ffhandball.fr/competitions/saison-2026-2027-22/national/u18-masculins-2026-2027-32522/poule-190991/rencontre-2640922/,"Bernard bardin, RUE DU STADE - QUARTIER DES COGNETS, Istres"
Entente Est Lyonnais (G),A,M18,P1,7,14 novembre 2026 au 15 novembre 2026,False,ST PRIEST HANDBALL,UODL HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/national/u18-masculins-2026-2027-32522/poule-190991/rencontre-2640926/,
Entente Est Lyonnais (G),A,M18,P1,8,28 novembre 2026 au 29 novembre 2026,False,MONTELIMAR CLUB HANDBALL,ST PRIEST HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/national/u18-masculins-2026-2027-32522/poule-190991/rencontre-2640928/,
Entente Est Lyonnais (G),A,M18,P1,9,5 décembre 2026 au 6 décembre 2026,False,ST PRIEST HANDBALL,ESTEREL ST RAPHAEL VAR HB (U18M ELITE),,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/national/u18-masculins-2026-2027-32522/poule-190991/rencontre-2640930/,
Entente Est Lyonnais (G),A,M18,P1,10,12 décembre 2026 au 13 décembre 2026,False,U.S. CRAUROISE HANDBALL,ST PRIEST HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/national/u18-masculins-2026-2027-32522/poule-190991/rencontre-2640933/,
Entente Villette Genas,C,M18,P1,1,12 septembre 2026 au 13 septembre 2026,False,M18M EXC - ENTENTE GENAS - VILLETTE,CS BOURGOIN JALLIEU HB,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m18-ans-masculin-excellence-aura-30502/poule-190132/rencontre-2652382/,
Entente Villette Genas,C,M18,P1,3,3 octobre 2026 au 4 octobre 2026,False,M18M EXC - ENTENTE GENAS - VILLETTE,M18M EXC - ENTENTE CORBAS - ST PRIEST - CHAPONNAY,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m18-ans-masculin-excellence-aura-30502/poule-190132/rencontre-2652388/,
Entente Villette Genas,C,M18,P1,4,10 octobre 2026 au 11 octobre 2026,False,HANDBALL CLUB DE LYON,M18M EXC - ENTENTE GENAS - VILLETTE,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m18-ans-masculin-excellence-aura-30502/poule-190132/rencontre-2652390/,
Entente Villette Genas,C,M18,P1,5,17 octobre 2026 au 18 octobre 2026,False,M18M EXC - ENTENTE GENAS - VILLETTE,PAYS VOIRONNAIS HANDBALL 1,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m18-ans-masculin-excellence-aura-30502/poule-190132/rencontre-2652393/,
Entente Villette Genas,C,M18,P1,6,7 novembre 2026 au 8 novembre 2026,False,CS BOURGOIN JALLIEU HB,M18M EXC - ENTENTE GENAS - VILLETTE,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m18-ans-masculin-excellence-aura-30502/poule-190132/rencontre-2652397/,
Entente Villette Genas,C,M18,P1,8,21 novembre 2026 au 22 novembre 2026,False,M18M EXC - ENTENTE CORBAS - ST PRIEST - CHAPONNAY,M18M EXC - ENTENTE GENAS - VILLETTE,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m18-ans-masculin-excellence-aura-30502/poule-190132/rencontre-2652403/,
Entente Villette Genas,C,M18,P1,9,28 novembre 2026 au 29 novembre 2026,False,M18M EXC - ENTENTE GENAS - VILLETTE,HANDBALL CLUB DE LYON,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m18-ans-masculin-excellence-aura-30502/poule-190132/rencontre-2652405/,
Entente Villette Genas,C,M18,P1,10,5 décembre 2026 au 6 décembre 2026,False,PAYS VOIRONNAIS HANDBALL 1,M18M EXC - ENTENTE GENAS - VILLETTE,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m18-ans-masculin-excellence-aura-30502/poule-190132/rencontre-2652408/,
Entente Est Lyonnais (G),B,M18,P1,1,samedi 12 septembre 2026 à 16H00,True,CIVRIEUX HANDBALL CLUB,M18M EXC - ENTENTE LIMAS/VHB,,Salle des sports,Civrieux d azergues,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m18-ans-masculin-excellence-aura-30502/poule-190125/rencontre-2652173/,"Salle des sports, ROUTE DE MARCILLY, Civrieux d azergues"
Entente Est Lyonnais (G),B,M18,P1,2,19 septembre 2026 au 20 septembre 2026,False,M18M EXC - ENTENTE LIMAS/VHB,5169049,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m18-ans-masculin-excellence-aura-30502/poule-190125/rencontre-2652176/,
Entente Est Lyonnais (G),B,M18,P1,3,3 octobre 2026 au 4 octobre 2026,False,M18M EXC - ENTENTE LIMAS/VHB,TRÉVOUX - U18 EXCELLENCE,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m18-ans-masculin-excellence-aura-30502/poule-190125/rencontre-2652177/,
Entente Est Lyonnais (G),B,M18,P1,4,10 octobre 2026 au 11 octobre 2026,False,M18M EXC - ENTENTE NORD BEAUJOLAIS 1,M18M EXC - ENTENTE LIMAS/VHB,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m18-ans-masculin-excellence-aura-30502/poule-190125/rencontre-2652181/,
Entente Est Lyonnais (G),B,M18,P1,5,17 octobre 2026 au 18 octobre 2026,False,M18M EXC - ENTENTE LIMAS/VHB,ROANNE RIORGES HANDBALL 1,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m18-ans-masculin-excellence-aura-30502/poule-190125/rencontre-2652185/,
Entente Est Lyonnais (G),B,M18,P1,6,7 novembre 2026 au 8 novembre 2026,False,M18M EXC - ENTENTE LIMAS/VHB,CIVRIEUX HANDBALL CLUB,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m18-ans-masculin-excellence-aura-30502/poule-190125/rencontre-2652188/,
Entente Est Lyonnais (G),B,M18,P1,7,14 novembre 2026 au 15 novembre 2026,False,5169049,M18M EXC - ENTENTE LIMAS/VHB,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m18-ans-masculin-excellence-aura-30502/poule-190125/rencontre-2652191/,
Entente Est Lyonnais (G),B,M18,P1,8,21 novembre 2026 au 22 novembre 2026,False,TRÉVOUX - U18 EXCELLENCE,M18M EXC - ENTENTE LIMAS/VHB,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m18-ans-masculin-excellence-aura-30502/poule-190125/rencontre-2652192/,
Entente Est Lyonnais (G),B,M18,P1,9,28 novembre 2026 au 29 novembre 2026,False,M18M EXC - ENTENTE LIMAS/VHB,M18M EXC - ENTENTE NORD BEAUJOLAIS 1,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m18-ans-masculin-excellence-aura-30502/poule-190125/rencontre-2652196/,
Entente Est Lyonnais (G),B,M18,P1,10,5 décembre 2026 au 6 décembre 2026,False,ROANNE RIORGES HANDBALL 1,M18M EXC - ENTENTE LIMAS/VHB,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m18-ans-masculin-excellence-aura-30502/poule-190125/rencontre-2652200/,
